participant_id,theme_id,scenario_id,axis,modifier_text,mapped_modifier,method,score
P_F1_73506,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_73506,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_73506,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_14146,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_14146,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_14146,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_14146,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_14146,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_30542,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_30542,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_30542,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_30542,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_30542,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_38198,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_38198,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_38198,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_38198,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_38198,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_44724,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_44724,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_44724,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_44724,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_44724,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_58708,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_58708,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_58708,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_58708,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_58708,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_53822,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_53822,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_53822,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_53822,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_53822,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_22482,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_22482,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_22482,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_22482,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_22482,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_73050,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_73050,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_73050,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_73050,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_73050,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_38524,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_38524,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_38524,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_38524,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_38524,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F2_99827,SC001,SC001_1,time_pressure,,MOD_SC001_1_05,scenario_axis,1.0
P_F2_99827,SC002,SC002_1,diffused_responsibility,,MOD_SC002_1_06,scenario_axis,1.0
P_F2_99827,SC003,SC003_1,competence_uncertainty,,MOD_SC003_1_07,scenario_axis,1.0
P_F2_99827,SC004,SC004_1,authority_signal,,MOD_SC004_1_08,scenario_axis,1.0
P_F2_99827,SC005,SC005_1,self_preservation,,MOD_SC005_1_01,scenario_axis,1.0
P_F2_77353,SC001,SC001_1,time_pressure,,MOD_SC001_1_05,scenario_axis,1.0
P_F2_77353,SC002,SC002_1,diffused_responsibility,,MOD_SC002_1_06,scenario_axis,1.0
P_F2_77353,SC003,SC003_1,competence_uncertainty,,MOD_SC003_1_07,scenario_axis,1.0
